field_id,finetuned_cluster
SB_FR_0791,2
SB_FR_0792,1
SB_FR_0793,1
SB_FR_0794,1
SB_FR_0795,1
SB_FR_0796,0
SB_FR_0797,3
SB_FR_0798,1
SB_FR_0799,1
SB_FR_0800,1
SB_FR_0801,1
SB_FR_0802,1
SB_FR_0803,1
SB_FR_0804,3
SB_FR_0805,3
SB_FR_0806,1
SB_FR_0807,1
SB_FR_0808,3
SB_FR_0809,2
SB_FR_0810,1
SB_FR_0811,0
SB_FR_0812,1
SB_FR_0813,1
SB_FR_0814,1
SB_FR_0815,1
SB_FR_0816,3
SB_FR_0817,1
SB_FR_0818,3
SB_FR_0819,0
SB_FR_0820,1
SB_FR_0821,3
SB_FR_0822,1
SB_FR_0823,3
SB_FR_0824,1
SB_FR_0825,1
SB_FR_0826,3
SB_FR_0827,3
SB_FR_0828,1
SB_FR_0829,1
SB_FR_0830,1
SB_FR_0831,1
SB_FR_0832,2
SB_FR_0833,3
SB_FR_0834,1
SB_FR_0835,1
SB_FR_0836,3
SB_FR_0837,3
SB_FR_0838,0
SB_FR_0839,1
SB_FR_0840,0
SB_FR_0841,0
SB_FR_0842,3
SB_FR_0843,2
SB_FR_0844,1
SB_FR_0845,1
SB_FR_0846,1
SB_FR_0847,3
SB_FR_0848,1
SB_FR_0849,1
SB_FR_0850,3
SB_FR_0851,2
SB_FR_0852,3
SB_FR_0853,2
SB_FR_0854,3
SB_FR_0855,1
SB_FR_0856,3
SB_FR_0857,1
SB_FR_0858,2
SB_FR_0859,0
SB_FR_0860,1
SB_FR_0861,3
SB_FR_0862,1
SB_FR_0863,3
SB_FR_0864,1
SB_FR_0866,3
SB_FR_0867,2
SB_FR_0868,1
SB_FR_0869,1
SB_FR_0870,0
SB_FR_0871,1
SB_FR_0872,1
SB_FR_0873,1
SB_FR_0874,1
SB_FR_0875,2
SB_FR_0877,3
SB_FR_0879,3
SB_FR_0880,1
SB_FR_0881,1
SB_FR_0882,1
SB_FR_0883,3
SB_FR_0884,1
SB_FR_0885,1
SB_FR_0886,3
SB_FR_0887,1
SB_FR_0888,1
SB_FR_0889,3
SB_FR_0890,3
SB_FR_0891,3
SB_FR_0892,1
SB_FR_0893,2
SB_FR_0894,1
SB_FR_0895,2
SB_FR_0896,0
SB_FR_0897,2
SB_FR_0898,1
SB_FR_0899,1
SB_FR_0900,0
SB_FR_0901,1
SB_FR_0902,3
SB_FR_0903,1
SB_FR_0905,1
SB_FR_0906,0
SB_FR_0907,3
SB_FR_0908,1
SB_FR_0909,3
SB_FR_0910,1
SB_FR_0911,1
SB_FR_0912,1
SB_FR_0913,1
SB_FR_0914,1
SB_FR_0915,3
SB_FR_0916,1
SB_FR_0917,3
SB_FR_0918,1
SB_FR_0919,1
SB_FR_0920,3
SB_FR_0921,3
SB_FR_0922,2
SB_FR_0923,1
SB_FR_0924,1
SB_FR_0925,3
SB_FR_0928,2
SB_FR_0929,0
SB_FR_0930,1
SB_FR_0931,3
SB_FR_0932,3
SB_FR_0933,1
SB_FR_0934,3
SB_FR_0935,1
SB_FR_0936,3
SB_FR_0937,3
SB_FR_0938,2
SB_FR_0939,3
SB_FR_0940,2
SB_FR_0941,1
SB_FR_0942,3
SB_FR_0943,2
SB_FR_0944,3
SB_FR_0945,1
SB_FR_0946,2
SB_FR_0947,3
SB_FR_0948,2
SB_FR_0949,1
SB_FR_0950,1
SB_FR_0951,3
SB_FR_0952,3
SB_FR_0953,1
SB_FR_0954,2
SB_FR_0955,3
SB_FR_0956,1
SB_FR_0957,3
SB_FR_0958,2
SB_FR_0959,1
SB_FR_0961,1
SB_FR_0962,3
SB_FR_0963,1
SB_FR_0964,3
SB_FR_0965,0
SB_FR_0966,1
SB_FR_0969,3
SB_FR_0970,3
SB_FR_0971,3
SB_FR_0972,3
SB_FR_0973,3
SB_FR_0974,2
SB_FR_0976,2
SB_FR_0977,3
SB_FR_0978,1
SB_FR_0980,0
SB_FR_0981,1
SB_FR_0982,2
SB_FR_0983,1
SB_FR_0984,3
SB_FR_0985,1
SB_FR_0986,3
SB_FR_0989,3
SB_FR_0990,2
SB_FR_0991,3
SB_FR_0993,1
SB_FR_0994,3
SB_FR_0995,2
SB_FR_0996,3
SB_FR_0997,2
SB_FR_0998,3
SB_FR_0999,2
SB_FR_1000,4
SB_FR_1001,1
SB_FR_1002,3
SB_FR_1003,3
SB_FR_1004,2
SB_FR_1005,2
SB_FR_1006,3
SB_FR_1007,1
SB_FR_1008,1
SB_FR_1009,1
SB_FR_1010,2
SB_FR_1011,2
SB_FR_1012,0
SB_FR_1013,1
SB_FR_1014,1
SB_FR_1015,3
SB_FR_1016,3
SB_FR_1017,1
SB_FR_1018,2
SB_FR_1019,2
SB_FR_1020,2
SB_FR_1021,1
SB_FR_1022,1
SB_FR_1023,1
SB_FR_1024,1
SB_FR_1025,4
SB_FR_1026,1
SB_FR_1027,1
SB_FR_1028,2
SB_FR_1029,3
SB_FR_1030,2
SB_FR_1031,1
SB_FR_1032,3
SB_FR_1033,3
SB_FR_1034,1
SB_FR_1035,2
SB_FR_1036,1
SB_FR_1037,2
SB_FR_1038,1
SB_FR_1039,1
SB_FR_1040,3
SB_FR_1041,1
SB_FR_1042,1
SB_FR_1043,3
SB_FR_1044,2
SB_FR_1045,3
SB_FR_1046,1
SB_FR_1047,0
SB_FR_1049,2
SB_FR_1051,1
SB_FR_1052,0
SB_FR_1053,1
SB_FR_1054,1
SB_FR_1055,3
SB_FR_1056,1
SB_FR_1057,3
SB_FR_1058,2
SB_FR_1059,0
SB_FR_1060,3
SB_FR_1061,1
SB_FR_1062,1
SB_FR_1063,3
SB_FR_1064,0
SB_FR_1065,1
SB_FR_1066,1
SB_FR_1067,3
SB_FR_1068,1
SB_FR_1069,3
SB_FR_1070,3
SB_FR_1071,3
SB_FR_1072,0
SB_FR_1073,2
SB_FR_1074,1
SB_FR_1077,3
SB_FR_1078,3
SB_FR_1079,0
SB_FR_1080,3
SB_FR_1081,0
SB_FR_1082,3
SB_FR_1083,1
SB_FR_1084,3
SB_FR_1086,2
SB_FR_1087,1
SB_FR_1088,1
SB_FR_1089,1
